N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe
0949.383.342,Commission européenne,1 - Services administratifs,MADO,"Place Madou 1, 1210 Saint-Josse-ten-Noode",54.55,333.27,D+
0212.346.955,CPAS de Bruxelles,"13 - Ateliers, centres funéraires, dépôts, ...",MADO Nord - CYCLUP,"Boulevard Emile Bockstael 114, 1020 Bruxelles",30.89,179.23,C
"0212.347.054,0207.365.709,0267.349.222","CPAS Evere,Administration Communale d'Evere,Police (Zone de police COM2)",1 - Services administratifs,Maison communale,"Square Servaes Hoedemaekers 10, 1140 Evere",34.40,209.17,C+
0212.347.747,CPAS Molenbeek - Saint - Jean,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Maison d'accueil le relais,"Rue Vandenboogaerde 64, 1080 Molenbeek-Saint-Jean",56.55,325.35,C-
0236.916.956,Bruxelles Environnement,1 - Services administratifs,Maison de l'armée,"Avenue du Parc de Woluwe 86, 1160 Auderghem",46.34,265.29,C
0207.366.501,Commune de Molenbeek-Saint-Jean,11 - Théatres et centres culturels,Maison des Cultures et de la Cohésion sociale ,"Rue Mommaerts 4, 1080 Molenbeek-Saint-Jean",41.92,251.73,D+
0207.372.637,AC Watermael-Boitsfort,"12 - Musées, bibliothèques, médiathèques et services similaires",Maison des Jeunes,"Place Léopold Wiener 1, 1170 Watermael-Boitsfort",43.00,243.26,D+
0414.705.583,"la Maison des jeunes "" la clé""",1 - Services administratifs,Maison des jeunes LE CLEF,"Avenue d'Auderghem 189, 1040 Etterbeek",34.19,193.12,C+
0422.949.692,Vrije Katholieke School Schaarbeek-Noord,3 - Enseignement du jour OU du soir,Mariaschool,"Rue Rubens 108, 1030 Schaerbeek",24.11,137.72,C
0207.389.859,Commune de Woluwe-Saint-Lambert,11 - Théatres et centres culturels,Médiatine,"Chaussée de Stockel 45, 1200 Woluwe-Saint-Lambert",23.86,138.06,B-
0949.383.342,Commission européenne,1 - Services administratifs,MERO,"Avenue de Tervueren 41, 1040 Etterbeek",34.80,211.85,C+
0207.389.859,Commune de Woluwe-Saint-Lambert,4 - Enseignement du jour ET du soir,Métairie Van Meyel,"Avenue Georges Henri 251B, 1200 Woluwe-Saint-Lambert",52.55,304.73,E-
0949.383.342,Commission européenne,1 - Services administratifs,MO15,"Rue Montoyer 15, 1000 Bruxelles",37.96,238.13,C
0949.383.342,Commission européenne,1 - Services administratifs,MO34,"Rue Montoyer 34, 1000 Bruxelles",60.44,372.47,D
0241.347.282,Bruxelles-Propreté,"13 - Ateliers, centres funéraires, dépôts, ...",Molenbeek,"Rue de l'Indépendance 28, 1080 Molenbeek-Saint-Jean",58.56,333.11,E
0862.932.685,Mont-de-Piété ,1 - Services administratifs,Mont-de-Piété,"Rue Saint-Ghislain 23, 1000 Bruxelles",19.29,111.21,B+
0953.449.919,PARLEMENT EUROPEEN,1 - Services administratifs,Montoyer 70,"Rue Montoyer 70, 1000 Bruxelles",54.94,333.48,D+
